rxn_IDs	rxnNames	K_score	grRules	rxn_formula
2140	fatty-acyl-CoA synthase (n-C16:0CoA)	2.44771408562535	YALI0B15059g and YALI0B19382g	21 H+_p+1[c] + 7 malonyl-CoA[c] + 14 NADPH[c] + acetyl-CoA[c] + 6.4235 prot_P34229[c] + 5.5949 prot_Q6CE16[c] => palmitoyl-CoA[c] + 7 H2O[c] + 14 NADP(+)[c] + 7 coenzyme A[c] + 7 carbon dioxide[c]
496	glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase	2.27983559944323	YALI0C00209g	acyl-CoA[lp] + glycerol 3-phosphate[lp] + 10.9063 prot_Q6CDI7[c] => coenzyme A[lp] + 1-acyl-sn-glycerol 3-phosphate_ActiveX VT_ERROR:[lp]
9u_EXP_3	1-acyl-sn-gylcerol-3-phosphate acyltransferase	2.27983559944323	YALI0D17534g	acyl-CoA[lp] + 1-acyl-sn-glycerol 3-phosphate_ActiveX VT_ERROR:[lp] + 0.001346 prot_Q6C8R8[c] => phosphatidate_ActiveX VT_ERROR:[lp] + coenzyme A[lp]
476	glutamine synthetase	1.96324287408365	YALI0F00506g	ATP[c] + ammonium[c] + L-glutamate[c] + 0.21461 prot_Q6C3E0[c] => H+_p+1[c] + L-glutamine[c] + ADP[c] + phosphate[c]
736	mevalonate kinase (ctp)	0.606054587029468	YALI0B16038g	CTP[c] + (R)-mevalonate[c] + 0.39238 prot_Q6CEF6[c] => H+_p+1[c] + CDP[c] + (R)-5-phosphomevalonic acid[c]
1072	UMP kinase	0.606019466366284	YALI0F09339g	ATP[c] + UMP[c] + 0.03046 prot_Q6C2B0[c] => UDP[c] + ADP[c]
1063	tyrosine transaminase	0.606019466366283	YALI0E20977g	L-glutamate[c] + 3-(4-hydroxyphenyl)pyruvate[c] + 0.073979 prot_Q6C551[c] => 2-oxoglutarate[c] + L-tyrosine[c]
1704_REV	cytidylate kinase (dCMP) (reversible)	0.606019466366283	YALI0F09339g	ADP[c] + dCDP[c] + 3.7551 prot_Q6C2B0[c] => ATP[c] + dCMP[c]
1729_REV	deoxyadenylate kinase (reversible)	0.606019466366283	YALI0F09339g	ADP[c] + dADP[c] + 2.8637 prot_Q6C2B0[c] => ATP[c] + dAMP[c]
18_EXP_2	2-aminoadipate transaminase	0.606019466366283	YALI0E20977g	2-oxoadipic acid[c] + L-glutamate[c] + 0.073979 prot_Q6C551[c] => 2-oxoglutarate[c] + L-2-aminoadipate[c]
452	fumarase, cytoplasmic	0.606019466366278	YALI0C06776g	fumarate[c] + H2O[c] + 0.012784 prot_Q6CCT2[c] => (S)-malate[c]
725_EXP_2	methenyltetrahydrofolate cyclohydrolase	0.606019466366273	YALI0F30745g	5,10-methenyl-THF[c] + H2O[c] + 3.2929 prot_Q6BZU8[c] => H+_p+1[c] + 10-formyl-THF[c]
449	fructose-bisphosphatase	0.510863102912479	YALI0A15972g	H2O[c] + D-fructose 1,6-bisphosphate[c] + 2.0804 prot_Q6CGV1[c] => D-fructose 6-phosphate[c] + phosphate[c]
450_REV	fructose-bisphosphate aldolase (reversible)	0.510863102912479	YALI0E26004g	dihydroxyacetone phosphate[c] + glyceraldehyde 3-phosphate[c] + 0.77654 prot_Q6C4K5[c] => D-fructose 1,6-bisphosphate[c]
1703_REV	cytidylate kinase (CMP) (reversible)	0.503291172020538	YALI0F09339g	ADP[c] + CDP[c] + 3.6425 prot_Q6C2B0[c] => ATP[c] + CMP[c]
1041	threonine synthase	0.493533852657999	YALI0F23221g	H2O[c] + O-phospho-L-homoserine[c] + 0.003794 prot_Q6C0N3[c] => phosphate[c] + L-threonine[c]
548	homoserine kinase	0.493533852657999	YALI0F13453g	ATP[c] + L-homoserine[c] + 0.26002 prot_Q6C1T8[c] => H+_p+1[c] + ADP[c] + O-phospho-L-homoserine[c]
280_EXP_2	cis-aconitate(3-) to isocitrate	0.490541901434223	YALI0E14949g	H2O[m] + cis-aconitate[m] + 0.048851 prot_Q6C5V2[c] => isocitrate[m]
302_EXP_2	citrate to cis-aconitate(3-)	0.490541901434223	YALI0E14949g	citrate[m] + 0.68378 prot_Q6C5V2[c] => H2O[m] + cis-aconitate[m]
732_EXP_2	methylenetetrahydrofolate dehydrogenase (NADP)	0.393984950882935	YALI0F30745g	5,10-methylenetetrahydrofolate[c] + NADP(+)[c] + 2.5446 prot_Q6BZU8[c] => 5,10-methenyl-THF[c] + NADPH[c]
467_REV	glucose-6-phosphate isomerase (reversible)	0.388406961443234	YALI0F07711g	D-fructose 6-phosphate[c] + 0.026471 prot_Q6C2I1[c] => D-glucose 6-phosphate[c]
982	ribose-5-phosphate isomerase	0.387555221224152	YALI0B06941g	D-ribulose 5-phosphate[c] + 0.00018238 prot_Q6CFH4[c] => ribose-5-phosphate[c]
658	isocitrate dehydrogenase (NAD+)	0.362406673607642	YALI0E05137g and YALI0D06303g	NAD[m] + isocitrate[m] + 0.2859 prot_Q6C6Z1[c] + 0.28669 prot_Q6CA33[c] => 2-oxoglutarate[m] + H+_p+1[m] + NADH[m] + carbon dioxide[m]
1021	succinate dehydrogenase (ubiquinone-6)	0.359899789532075	YALI0A14784g and YALI0D11374g and YALI0E29667g and YALI0D23397g	ubiquinone-6[m] + succinate[m] + 0.0059295 prot_Q6C450[c] + 0.0097741 prot_Q6C823[c] + 0.022232 prot_Q6C9G6[c] + 0.0057054 prot_Q6CGZ0[c] => ubiquinol-6[m] + fumarate[m]
466	glucose 6-phosphate dehydrogenase	0.334075458554596	YALI0E22649g	D-glucose 6-phosphate[c] + NADP(+)[c] + 0.19044 prot_Q6C4Y7[c] => H+_p+1[c] + 6-O-phosphono-D-glucono-1,5-lactone[c] + NADPH[c]
889	phosphogluconate dehydrogenase	0.334075458554596	YALI0B15598g	6-phospho-D-gluconate[c] + NADP(+)[c] + 0.20391 prot_Q6CEH4[c] => NADPH[c] + carbon dioxide[c] + D-ribulose 5-phosphate[c]
91_EXP_2	6-phosphogluconolactonase	0.334075458554596	YALI0E11671g	6-O-phosphono-D-glucono-1,5-lactone[c] + H2O[c] + 0.46735 prot_Q6C682[c] => H+_p+1[c] + 6-phospho-D-gluconate[c]
217_REV_EXP_2	aspartate transaminase (reversible)	0.330115920933282	YALI0F29337g	L-glutamate[m] + oxaloacetate[m] + 0.019576 prot_Q6BZZ9[c] => 2-oxoglutarate[m] + L-aspartate[m]
1048	transaldolase	0.312629072320856	YALI0F15587g	glyceraldehyde 3-phosphate[c] + sedoheptulose 7-phosphate[c] + 0.76323 prot_Q6C1K2[c] => D-erythrose 4-phosphate[c] + D-fructose 6-phosphate[c]
1049	transketolase 1	0.312629072320856	YALI0E06479g	ribose-5-phosphate[c] + D-xylulose 5-phosphate[c] + 1.4481 prot_Q6C6T4[c] => glyceraldehyde 3-phosphate[c] + sedoheptulose 7-phosphate[c]
984	ribulose 5-phosphate 3-epimerase	0.296147308192363	YALI0C11880g	D-ribulose 5-phosphate[c] + 0.0058126 prot_Q6CC71[c] => D-xylulose 5-phosphate[c]
1050	transketolase 2	0.2777035355207	YALI0E06479g	D-erythrose 4-phosphate[c] + D-xylulose 5-phosphate[c] + 1.4481 prot_Q6C6T4[c] => D-fructose 6-phosphate[c] + glyceraldehyde 3-phosphate[c]
216_EXP_2	aspartate transaminase	0.269179205893199	YALI0F29337g	L-aspartate[c] + 2-oxoglutarate[c] + 0.024747 prot_Q6BZZ9[c] => oxaloacetate[c] + L-glutamate[c]
692	L-threonine deaminase	0.221108120873159	YALI0E10307g	L-threonine[c] + 0.91992 prot_Q6C6D8[c] => ammonium[c] + 2-oxobutanoate[c]
471	glutamate dehydrogenase (NADP)	0.124081527493858	YALI0F17820g	H+_p+1[c] + ammonium[c] + NADPH[c] + 2-oxoglutarate[c] + 0.00048387 prot_Q6C1A9[c] => H2O[c] + NADP(+)[c] + L-glutamate[c]
851_REV	phenylalanine transaminase (reversible)	0.060685657024559	YALI0E20977g	L-glutamate[c] + keto-phenylpyruvate[c] + 0.073979 prot_Q6C551[c] => 2-oxoglutarate[c] + L-phenylalanine[c]
1022	succinate-CoA ligase (ADP-forming)	0	YALI0D04741g and YALI0E24013g	succinyl-CoA[m] + ADP[m] + phosphate[m] + 0.047485 prot_Q6C4S9[c] + 0.064988 prot_Q6CA97[c] => ATP[m] + coenzyme A[m] + succinate[m]
104	acetyl-CoA C-acetyltransferase	0	YALI0E11099g	2 acetyl-CoA[m] + 4.098 prot_Q6L8K7[c] => acetoacetyl-CoA[m] + coenzyme A[m]
2117	phenylalanine transaminase	0	YALI0C05258g	pyruvate[c] + L-phenylalanine[c] + 2.2619 prot_Q6CCZ6[c] => L-alanine[c] + keto-phenylpyruvate[c]
252_REV	carnitine O-acetyltransferase (reversible)	0	YALI0F21197g	O-acetylcarnitine[c] + coenzyme A[c] + 0.78891 prot_Q6C0W4[c] => (R)-carnitine[c] + acetyl-CoA[c]
253	carnitine O-acetyltransferase	0	YALI0B10340g	acetyl-CoA[pe] + (R)-carnitine[pe] + 0.19459 prot_Q6CF46[c] => coenzyme A[pe] + O-acetylcarnitine[pe]
309	cystathionine beta-synthase	0	YALI0E09108g	L-homocysteine[c] + L-serine[c] + 0.75039 prot_Q6C6J2[c] => H2O[c] + L-cystathionine[c]
337u	diacylglycerol pyrophosphate phosphatase	0	YALI0D27016g	H2O[em] + phosphatidate_ActiveX VT_ERROR:[em] + 0.062262 prot_Q6C7L9[c] => phosphate[em] + diglyceride_ActiveX VT_ERROR:[em]
451	fumarase	0	YALI0C06776g	H2O[m] + fumarate[m] + 0.012784 prot_Q6CCT2[c] => (S)-malate[m]
735	mevalonate kinase (atp)	0	YALI0B16038g	ATP[c] + (R)-mevalonate[c] + 0.47095 prot_Q6CEF6[c] => H+_p+1[c] + ADP[c] + (R)-5-phosphomevalonic acid[c]
