rxn_IDs	rxnNames	K_score	grRules	rxn_formula
y001072	UMP kinase	0.649472869101267	YALI0F09339g	ATP[c] + UMP[c] + 0.03046 prot_Q6C2B0[c] => ADP[c] + UDP[c]
y000452	fumarase, cytoplasmic	0.649472869092696	YALI0C06776g	fumarate[c] + H2O[c] + 0.012784 prot_Q6CCT2[c] => (S)-malate[c]
y000891	phosphoglycerate dehydrogenase	0.536708156434639	YALI0F09966g	3-phosphoglycerate[c] + NAD[c] + 1.2337 prot_Q6C284[c] => 3-phospho-hydroxypyruvate[c] + H+[c] + NADH[c]
y000917	phosphoserine phosphatase (L-serine)	0.536708156434639	YALI0B20438g	3-phospho-serine[c] + H2O[c] + 0.082307 prot_Q6CDX6[c] => L-serine[c] + phosphate[c]
y000918	phosphoserine transaminase	0.536708156434639	YALI0F06468g	3-phospho-hydroxypyruvate[c] + L-glutamate[c] + 0.96798 prot_Q6C2N1[c] => 2-oxoglutarate[c] + 3-phospho-serine[c]
y000548	homoserine kinase	0.456738807062308	YALI0F13453g	ATP[c] + L-homoserine[c] + 0.26002 prot_Q6C1T8[c] => ADP[c] + H+[c] + O-phospho-L-homoserine[c]
y001041	threonine synthase	0.456738807062308	YALI0F23221g	H2O[c] + O-phospho-L-homoserine[c] + 0.003794 prot_Q6C0N3[c] => L-threonine[c] + phosphate[c]
y000502_EXP_2	glycine hydroxymethyltransferase	0.324917640238444	YALI0E16346g	L-serine[c] + THF[c] + 0.022438 prot_Q6C5P5[c] => 5,10-methylenetetrahydrofolate[c] + H2O[c] + L-glycine[c]
y001704_REV	cytidylate kinase (dCMP) (reversible)	0.322172725857459	YALI0F09339g	ADP[c] + dCDP[c] + 3.7551 prot_Q6C2B0[c] => ATP[c] + dCMP[c]
y000280_EXP_2	cis-aconitate(3-) to isocitrate	0.29921065809802	YALI0E14949g	cis-aconitate[m] + H2O[m] + 0.048851 prot_Q6C5V2[c] => isocitrate[m]
y000302_EXP_2	citrate to cis-aconitate(3-)	0.29921065809802	YALI0E14949g	citrate[m] + 0.68378 prot_Q6C5V2[c] => cis-aconitate[m] + H2O[m]
y000961	pyruvate dehydrogenase	0.296764667602717	YALI0E27005g and YALI0F20702g and YALI0D20768g and YALI0B09845g and YALI0D23683g	coenzyme A[m] + NAD[m] + pyruvate[m] + 0.024897 prot_Q6C0Y7[c] + 0.020572 prot_Q6C4G4[c] + 0.026144 prot_Q6C812[c] + 0.030341 prot_Q6C8C6[c] + 0.025015 prot_Q6CF67[c] => acetyl-CoA[m] + carbon dioxide[m] + NADH[m]
y000731	methylenetetrahydrofolate dehydrogenase (NAD)	0.270009539651101	YALI0B12078g	5,10-methylenetetrahydrofolate[c] + NAD[c] + 1.2139 prot_Q6CEX7[c] => 5,10-methenyl-THF[c] + NADH[c]
y000851_REV	phenylalanine transaminase (reversible)	0.241417861527335	YALI0E20977g	keto-phenylpyruvate[c] + L-glutamate[c] + 0.073979 prot_Q6C551[c] => 2-oxoglutarate[c] + L-phenylalanine[c]
y000300_EXP_1	citrate synthase	0.212555619740886	YALI0E00638g	acetyl-CoA[m] + H2O[m] + oxaloacetate[m] + 0.084794 prot_Q6C7I2[c] => citrate[m] + coenzyme A[m] + H+[m]
y000725_EXP_2	methenyltetrahydrofolate cyclohydrolase	0.194919183671641	YALI0F30745g	5,10-methenyl-THF[c] + H2O[c] + 3.2929 prot_Q6BZU8[c] => 10-formyl-THF[c] + H+[c]
y000658_EXP_3	isocitrate dehydrogenase (NAD+)	0.119900280428416	YALI0E05137g	isocitrate[m] + NAD[m] + 0.2859 prot_Q6C6Z1[c] => 2-oxoglutarate[m] + carbon dioxide[m] + NADH[m]
y000692	L-threonine deaminase	0.11147287997059	YALI0E10307g	L-threonine[c] + 0.91992 prot_Q6C6D8[c] => 2-oxobutanoate[c] + ammonium[c]
y001021	succinate dehydrogenase (ubiquinone-6)	0.102421269909784	YALI0A14784g and YALI0D11374g and YALI0E29667g and YALI0D23397g	succinate[m] + ubiquinone-6[m] + 0.0059295 prot_Q6C450[c] + 0.0097741 prot_Q6C823[c] + 0.022232 prot_Q6C9G6[c] + 0.0057054 prot_Q6CGZ0[c] => fumarate[m] + ubiquinol-6[m]
y000451	fumarase	0.0483039105411179	YALI0C06776g	fumarate[m] + H2O[m] + 0.012784 prot_Q6CCT2[c] => (S)-malate[m]
y000831	oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase)	0.0483039105411179	YALI0E16929g and YALI0D20768g and YALI0E33517g	coenzyme A[m] + S(8)-succinyldihydrolipoamide[m] + 0.16984 prot_Q6C3M8[c] + 0.072914 prot_Q6C5L8[c] + 0.079277 prot_Q6C8C6[c] => dihydrolipoamide[m] + succinyl-CoA[m]
y000832	oxoglutarate dehydrogenase (lipoamide)	0.0483039105411179	YALI0E16929g and YALI0D20768g and YALI0E33517g	2-oxoglutarate[m] + H+[m] + lipoamide[m] + 0.16984 prot_Q6C3M8[c] + 0.072914 prot_Q6C5L8[c] + 0.079277 prot_Q6C8C6[c] => carbon dioxide[m] + S(8)-succinyldihydrolipoamide[m]
y001022	succinate-CoA ligase (ADP-forming)	0.0483039105411179	YALI0D04741g and YALI0E24013g	ADP[m] + phosphate[m] + succinyl-CoA[m] + 0.047485 prot_Q6C4S9[c] + 0.064988 prot_Q6CA97[c] => ATP[m] + coenzyme A[m] + succinate[m]
y102512	DAG kinase	0.0467941495997191	YALI0F19052g	diglyceride[erm] + CTP[erm] + 0.24855 prot_Q6C158[c] => phosphatidate[erm] + H+[erm] + CDP[erm]
y000505	glycine-cleavage complex (lipoamide)	0.037057203128097	YALI0E00242g and YALI0F02849g and YALI0D20768g and YALI0A09856g	dihydrolipoamide[m] + NAD[m] + 0.065696 prot_Q6C340[c] + 0.028429 prot_Q6C7J7[c] + 0.079277 prot_Q6C8C6[c] + 0.1622 prot_Q6CHE0[c] => H+[m] + lipoamide[m] + NADH[m]
y000330_REV	deoxyguanylate kinase (dGMP:ATP) (reversible)	0	YALI0C16434g	ADP[c] + dGDP[c] + 6.4581 prot_Q6CBQ9[c] => ATP[c] + dGMP[c]
y000445_EXP_1	formate dehydrogenase	0	YALI0A12353g	formate[c] + NAD[c] + 2.3589 prot_Q6CH50[c] => carbon dioxide[c] + NADH[c]
y000446_REV_EXP_2	formate-tetrahydrofolate ligase (reversible)	0	YALI0F30745g	10-formyl-THF[c] + ADP[c] + phosphate[c] + 2.6703 prot_Q6BZU8[c] => ATP[c] + formate[c] + THF[c]
y000503_REV_EXP_2	glycine hydroxymethyltransferase (reversible)	0	YALI0E16346g	5,10-methylenetetrahydrofolate[m] + H2O[m] + L-glycine[m] + 5.8501 prot_Q6C5P5[c] => L-serine[m] + THF[m]
y000504	glycine-cleavage complex (lipoamide)	0	YALI0E00242g and YALI0F02849g and YALI0D20768g and YALI0A09856g	H+[m] + L-glycine[m] + lipoamide[m] + 0.018828 prot_Q6C340[c] + 0.0081476 prot_Q6C7J7[c] + 0.02272 prot_Q6C8C6[c] + 0.046485 prot_Q6CHE0[c] => carbon dioxide[m] + S(8)-aminomethyldihydrolipoamide[m]
y000509	glycine-cleavage system (lipoamide)	0	YALI0E00242g and YALI0F02849g and YALI0D20768g and YALI0A09856g	S(8)-aminomethyldihydrolipoamide[m] + THF[m] + 0.70206 prot_Q6C340[c] + 0.30381 prot_Q6C7J7[c] + 0.8472 prot_Q6C8C6[c] + 1.7333 prot_Q6CHE0[c] => 5,10-methylenetetrahydrofolate[m] + ammonium[m] + dihydrolipoamide[m]
y002117	phenylalanine transaminase	0	YALI0C05258g	L-phenylalanine[c] + pyruvate[c] + 2.2619 prot_Q6CCZ6[c] => keto-phenylpyruvate[c] + L-alanine[c]
y200003	ATP-citrate lyase	0	YALI0E34793g and YALI0D24431g	ATP[c] + citrate[c] + coenzyme A[c] + 0.33814 prot_Q6C3H5[c] + 0.25611 prot_Q6C7Y1[c] => acetyl-CoA[c] + ADP[c] + oxaloacetate[c] + phosphate[c]
